Stepper Pin: 14
1073495784
1073495324
    F_CPU=240000000
    TICKS_PER_S=16000000


 _____  ___  ___  __  __          
(  _  )/ __)/ __)(  \/  )        
 )(_)( \__ \\__ \ )    (      
(_____)(___/(___/(_/\/\_)  ____ 
/ __)  /__\  (  )(  )/ __)( ___) 
\__ \ /(__)\  )(__)(( (__  )__)
(___/(__)(__)(______)\___)(____) 
 Firmware v1.1


-- CONNECTING TO WIFI --
--     PLEASE WAIT    --

.

-- WiFi connected! --


-- Connected to WebSocket server! --


Beginning sensorless homing...
1863.19, 1368.56
1860.50, 1373.06
1859.13, 1377.52
1860.87, 1381.95
1865.86, 1386.35
1859.96, 1390.72
1863.21, 1395.06
1868.12, 1399.36
1858.00, 1403.63
1859.34, 1407.88
1860.11, 1412.09
1859.54, 1416.27
1860.34, 1420.42
1862.50, 1424.54
1858.13, 1428.63
1863.18, 1432.69
1861.11, 1436.72
1861.87, 1440.72
1865.20, 1444.69
1859.74, 1448.63
1863.03, 1452.54
1858.74, 1456.42
1857.80, 1460.27
1861.54, 1464.09
1860.99, 1467.88
1865.08, 1471.64
1863.02, 1475.38
1863.42, 1479.09
1863.38, 1482.76
1862.86, 1486.41
1859.03, 1490.03
1861.07, 1493.63
1861.47, 1497.19
1860.23, 1500.73
1861.61, 1504.24
1862.13, 1507.72
1861.26, 1511.18
1861.11, 1514.61
1867.13, 1518.01
1861.62, 1521.38
1861.96, 1524.73
1861.88, 1528.05
1859.89, 1531.35
1862.59, 1534.62
1864.58, 1537.86
1860.47, 1541.08
1856.25, 1544.27
1861.03, 1547.43
1861.56, 1550.57
1862.00, 1553.69
1861.10, 1556.78
1863.27, 1559.84
1862.10, 1562.88
1865.85, 1565.90
1866.41, 1568.89
1867.39, 1571.85
1861.43, 1574.80
1863.93, 1577.72
1861.85, 1580.61
1860.83, 1583.48
1861.53, 1586.33
1860.57, 1589.15
1859.23, 1591.95
1862.76, 1594.73
1864.15, 1597.48
1861.29, 1600.22
1865.02, 1602.93
1858.43, 1605.61
1868.17, 1608.28
1861.84, 1610.92
1864.01, 1613.54
1856.85, 1616.13
1869.51, 1618.71
1862.64, 1621.27
1862.52, 1623.80
1862.20, 1626.31
1863.79, 1628.80
1865.27, 1631.27
1862.57, 1633.72
1861.35, 1636.15
1864.06, 1638.55
1858.82, 1640.94
1862.81, 1643.31
1867.04, 1645.65
1864.05, 1647.98
1864.32, 1650.29
1860.46, 1652.57
1863.69, 1654.84
1865.53, 1657.09
1859.42, 1659.32
1865.49, 1661.53
1865.33, 1663.72
1868.80, 1665.89
1860.16, 1668.05
1861.24, 1670.18
1867.05, 1672.30
1862.64, 1674.40
1859.99, 1676.48
1863.53, 1678.54
1863.77, 1680.58
1860.03, 1682.61
1864.60, 1684.62
1863.19, 1686.61
1860.74, 1688.58
1862.91, 1690.54
1862.33, 1692.48
1863.31, 1694.41
1861.25, 1696.31
1861.74, 1698.20
1862.59, 1700.07
1865.62, 1701.93
1863.46, 1703.77
1864.14, 1705.60
1858.31, 1707.40
1866.88, 1709.20
1865.41, 1710.97
1861.51, 1712.73
1857.73, 1714.48
1865.97, 1716.21
1859.81, 1717.92
1861.38, 1719.62
1868.11, 1721.31
1859.95, 1722.98
1864.04, 1724.63
1858.23, 1726.27
1862.31, 1727.90
1860.92, 1729.51
1862.64, 1731.10
1861.27, 1732.68
1863.25, 1734.25
1863.07, 1735.81
1866.73, 1737.35
1864.17, 1738.87
1860.82, 1740.38
1863.25, 1741.88
1858.59, 1743.37
1863.98, 1744.84
1864.28, 1746.30
1865.00, 1747.74
1864.75, 1749.18
1862.99, 1750.60
1864.06, 1752.00
1862.70, 1753.40
1862.68, 1754.78
1865.18, 1756.15
1864.89, 1757.50
1864.41, 1758.85
1862.85, 1760.18
1861.32, 1761.50
1865.09, 1762.81
1867.98, 1764.11
1863.18, 1765.39
1864.18, 1766.66
1858.19, 1767.92
1863.15, 1769.18
1860.84, 1770.41
1866.63, 1771.64
1870.95, 1772.86
1861.26, 1774.06
1862.39, 1775.26
1865.97, 1776.44
1863.75, 1777.61
1863.80, 1778.78
1861.87, 1779.93
1861.56, 1781.07
1863.82, 1782.20
